id	Name	ImageName	Population change since 2016	Birth Rate/1000	Death Rate/1000	Infant Mortality	% of Pop below Poverty Line	Human Development Index	Corruption Index	GDP per capita	Life Expectancy (M)	Life Expectancy (F)	System of Government	Migrant Population %	Incarceration Rates		id	Wikipedia URL	Location	GDP Per Capita	GDP	Migrant Population Percentage
0	 Afghanistan	Flag_of_Afghanistan.jpg	2.5	38.84	14.12	112.8	16	0.479	15	18886	49.9	52.7	Republic	0.3	74		0	http://en.wikipedia.org/wiki/Afghanistan	+34.32+69.08/	600	19654000000	0.3
1	 Albania	Flag_of_Albania.jpg	0.1	12.73	6.47	12.3	14.3	0.764	39	12126	75.7	81.2	Republic	3.1	192		1	http://en.wikipedia.org/wiki/Albania	+41.19+19.49/	4444	12204000000	3.1
2	 Algeria	Flag_of_Algeria.jpg	1.8	23.99	4.31	20.3	23	0.745	34	160784	75.5	78.2	Republic	0.7	156		2	http://en.wikipedia.org/wiki/Algeria	+36.42+3.13/	4425	1.8171E+11	0.7
3	 Andorra	Flag_of_Andorra.jpg	-0.4	8.48	6.82	3.6	null	0.858	null	null	80.6	85.1	Constitutional monarchy	56.9	53		3	http://en.wikipedia.org/wiki/Andorra	+42.30+1.31/	53383	4510000000	56.9
4	 Angola	Flag_of_Angola.jpg	3.4	38.97	11.67	76.5	40.5	0.533	18	95821	54.8	57.2	Republic	0.4	96		4	http://en.wikipedia.org/wiki/Angola	-8.50+13.20/	3819	98815000000	0.4
5	 Antigua and Barbuda	Flag_of_Antigua_and_Barbuda.jpg	1	15.94	5.7	12.5	null	0.786	null	1398	74.4	78.8	Constitutional monarchy	31.9	403		5	http://en.wikipedia.org/wiki/Antigua_and_Barbuda	+17.7-61.51/	14753	1332000000	31.9
6	 Argentina	Flag_of_Argentina.jpg	1	16.88	7.34	10.1	30	0.827	36	545124	74	80.4	Republic	4.6	160		6	http://en.wikipedia.org/wiki/Argentina	-34.36-58.23/	13589	5.85623E+11	4.6
7	 Armenia	Flag_of_Armenia.jpg	0.2	13.92	9.3	13.1	32	0.743	33	10499	71.4	78.3	Republic	10.6	130		7	http://en.wikipedia.org/wiki/Armenia	+40.11+44.31/	3535	10571000000	10.6
8	 Australia	Flag_of_Australia.jpg	1.3	12.19	7.07	4.3	12.5	0.939	79	1258978	79.8	84.8	Constitutional monarchy	27.7	152		8	http://en.wikipedia.org/wiki/Australia	-35.1829+149.0728/	51642	1.223E+12	27.7
9	 Austria	Flag_of_Austria.jpg	0.3	8.76	10.38	3.4	4.2	0.893	75	386752	78.9	84.3	Republic	15.2	97		9	http://en.wikipedia.org/wiki/Austria	+48.12+16.21/	44777	3.84799E+11	15.2
