name,year,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,positive_affect,negative_affect,happiness,happiness_explained_by_gdp_per_capita,happiness_explained_by_social_support,happiness_explained_by_life_expectancy,happiness_explained_by_freedom,happiness_explained_by_generocity,happiness_explained_by_corruption,change_in_happiness,image,system_of_government,incarceration_rates,location
Afghanistan,2018,7.49,0.51,52.6,0.374,-0.085,0.928,0.424,0.405,3.2,0.35,0.52,0.36,0,0.16,0.02,-0.5202527046203613,Flag_of_Afghanistan.jpg,Republic,74,+34.32+69.08/
Albania,2018,9.41,0.68,68.7,0.824,0.005,0.899,0.713,0.319,4.72,0.95,0.85,0.87,0.38,0.18,0.03,0.08432245254516602,Flag_of_Albania.jpg,Republic,192,+41.19+19.49/
Algeria,2018,9.56,0.8,65.9,0.583,-0.172,0.759,0.591,0.293,5.21,1,1.16,0.79,0.09,0.07,0.11,undefined,Flag_of_Algeria.jpg,Republic,156,+36.42+3.13/
Argentina,2018,9.81,0.9,68.8,0.846,-0.207,0.855,0.82,0.321,6.09,1.09,1.43,0.88,0.47,0.07,0.05,-0.029491424560546875,Flag_of_Argentina.jpg,Republic,160,-34.36-58.23/
Armenia,2018,9.12,0.81,66.9,0.808,-0.149,0.677,0.581,0.455,4.56,0.85,1.05,0.81,0.28,0.1,0.06,-0.048261165618896484,Flag_of_Armenia.jpg,Republic,130,+40.11+44.31/
Australia,2018,10.72,0.94,73.6,0.916,0.138,0.405,0.759,0.187,7.23,1.37,1.55,1.04,0.56,0.33,0.29,-0.0646967887878418,Flag_of_Australia.jpg,Constitutional monarchy,152,-35.1829+149.0728/
Austria,2018,10.74,0.91,73,0.904,0.052,0.523,0.752,0.226,7.25,1.38,1.48,1.02,0.53,0.24,0.23,0.09420061111450195,Flag_of_Austria.jpg,Republic,97,+48.12+16.21/
Azerbaijan,2018,9.68,0.78,65.5,0.772,-0.252,0.561,0.593,0.191,5.21,1.04,1.15,0.77,0.35,0.04,0.18,0.5020465850830078,Flag_of_Azerbaijan.jpg,Republic,236,+40.25+49.50/
Bahrain,2017,10.68,0.88,68.5,0.906,0.128,0,0.814,0.29,6.2,1.36,1.37,0.87,0.54,0.25,0.11,undefined,Flag_of_Bahrain.jpg,Constitutional monarchy,301,+26.13+50.35/
Bangladesh,2018,8.22,0.71,64.3,0.901,-0.038,0.701,0.541,0.361,4.46,0.56,0.93,0.72,0.53,0.17,0.14,-0.1954507827758789,Flag_of_Bangladesh.jpg,Republic,43,+23.42+90.21/
Belarus,2018,9.78,0.9,66.1,0.644,-0.182,0.718,0.45,0.236,5.32,1.07,1.47,0.79,0.23,0.09,0.14,-0.25708913803100586,Flag_of_Belarus.jpg,Republic,306,+53.55+27.33/
Belgium,2018,10.67,0.93,72,0.808,-0.127,0.63,0.75,0.25,6.92,1.36,1.5,0.99,0.47,0.16,0.21,-0.27628326416015625,Flag_of_Belgium.jpg,Constitutional monarchy,98,+50.51+4.21/
Benin,2018,7.66,0.5,54.3,0.713,0.025,0.747,0.647,0.468,4.88,0.39,0.44,0.4,0.35,0.18,0.08,1.3902065753936768,Flag_of_Benin.jpg,Republic,77,+9.31+2.316/
Bhutan,2015,8.95,0.85,60.2,0.83,0.287,0.634,0.81,0.312,5.08,0.81,1.32,0.6,0.46,0.37,0.17,undefined,Flag_of_Bhutan.jpg,Constitutional monarchy,145,+27.28.0+89.38.5/
Bolivia,2018,8.86,0.83,63.6,0.863,-0.088,0.786,0.742,0.387,5.78,0.78,1.21,0.71,0.51,0.14,0.06,0.3463597297668457,Flag_of_Bolivia.jpg,Republic,122,-17.48-63.10/
Bosnia and Herzegovina,2018,9.4,0.84,67.8,0.659,0.125,0.913,0.643,0.277,5.39,0.95,1.21,0.84,0.21,0.26,0.01,0.4867420196533203,Flag_of_Bosnia_and_Herzegovina.jpg,Republic,73,+43.52+18.25/
Botswana,2018,9.68,0.79,58.9,0.818,-0.259,0.807,0.73,0.267,3.49,1.04,1.15,0.54,0.46,0.02,0.1,-1.6062235832214355,Flag_of_Botswana.jpg,Republic,193,-24.39.5+25.54.5/
Brazil,2018,9.56,0.88,66.4,0.751,-0.126,0.763,0.75,0.35,6.3,1,1.44,0.8,0.39,0.1,0.09,-0.2496943473815918,Flag_of_Brazil.jpg,Republic,307,-15.47-47.52/
Bulgaria,2018,9.87,0.92,66.8,0.724,-0.179,0.952,0.639,0.189,5.01,1.09,1.51,0.81,0.31,0.08,0,1.167212724685669,Flag_of_Bulgaria.jpg,Republic,125,+42.41+23.19/
Burkina Faso,2018,7.47,0.66,53.9,0.721,-0.004,0.757,0.711,0.343,4.59,0.33,1.06,0.38,0.25,0.18,0.11,0.6983580589294434,Flag_of_Burkina_Faso.jpg,Republic,41,+12.20-1.40/
